Country,State,Year,Youth Hostel Locations,"Youth Hostels Constructed (UOM:Number), Scaling Factor:1"
India,Manipur,"Financial Year (Apr - Mar), 2017","Churachandpur, Imphal, Thoubal",3.0000000000000000
India,Meghalaya,"Financial Year (Apr - Mar), 2017",Shillong,1.00000000000000000000
India,Mizoram,"Financial Year (Apr - Mar), 2017",Aizwal,1.00000000000000000000
India,Nagaland,"Financial Year (Apr - Mar), 2017",Dimapur,1.00000000000000000000
India,Odisha,"Financial Year (Apr - Mar), 2017","Gopalpur-on-Sea, Joshipur, Koraput, Puri",4.0000000000000000
India,Puducherry,"Financial Year (Apr - Mar), 2017",Puducherry,1.00000000000000000000
India,Punjab,"Financial Year (Apr - Mar), 2017","Amritsar, Jalandhar, Patiala, Ropar, Sangrur, Tarn Taran",6.0000000000000000
India,Rajasthan,"Financial Year (Apr - Mar), 2017","Ajmer, Jaipur, Jodhpur, Udaipur",4.0000000000000000
India,Sikkim,"Financial Year (Apr - Mar), 2017",Gangtok,1.00000000000000000000
India,Tamil Nadu,"Financial Year (Apr - Mar), 2017","Chennai, Madurai, Ooty, Thanjavaur, Trichy",5.0000000000000000
India,Telangana,"Financial Year (Apr - Mar), 2017","Nagarjunasagar, Secunderabad, Warangal",3.0000000000000000
India,Tripura,"Financial Year (Apr - Mar), 2017",Agartala,1.00000000000000000000
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2017","Agra, Lucknow",2.0000000000000000
India,Uttarakhand,"Financial Year (Apr - Mar), 2017","Badrinath, Mussoorie, Nainital, Uttarkashi",4.0000000000000000
India,West Bengal,"Financial Year (Apr - Mar), 2017",Darjeeling,1.00000000000000000000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2016",Port Blair,1.00000000000000000000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2016","Nagarjunasagar, Secunderabad, Tirupati, Vijayawada, Visakhapatnam, Vizianagaram, Warangal, Kadapa",8.0000000000000000
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2016",Naharlagun,1.00000000000000000000
India,Assam,"Financial Year (Apr - Mar), 2016","Guwahati,Tezpur",2.0000000000000000
India,Bihar,"Financial Year (Apr - Mar), 2016",Patna,1.00000000000000000000
